dataset,bias,samples,baseline_accuracy,biased_accuracy,accuracy_impact,baseline_tests_requested_count,biased_tests_requested_count,tests_requested_count_impact,baseline_diagnoses_considered_count,biased_diagnoses_considered_count,diagnoses_considered_count_impact,baseline_disagreements,biased_disagreements,disagreements_impact
MedQA,affective,25,68.0,76.0,8.0,1.24,1.36,0.1200000000000001,6.16,6.88,0.7199999999999998,0.08,0.16,0.08
MedQA,age,25,68.0,72.0,4.0,1.24,1.2,-0.040000000000000036,6.16,5.8,-0.3600000000000003,0.08,0.08,0.0
MedQA,aggregate,25,68.0,64.0,-4.0,1.24,0.96,-0.28,6.16,6.64,0.47999999999999954,0.08,0.04,-0.04
MedQA,anchoring,25,68.0,76.0,8.0,1.24,1.48,0.24,6.16,5.64,-0.5200000000000005,0.08,0.08,0.0
MedQA,availability,25,68.0,60.0,-8.0,1.24,1.44,0.19999999999999996,6.16,7.2,1.04,0.08,0.0,-0.08
MedQA,bandwagon,25,68.0,64.0,-4.0,1.24,1.44,0.19999999999999996,6.16,6.52,0.35999999999999943,0.08,0.0,-0.08
MedQA,commission,25,68.0,80.0,12.0,1.24,1.4,0.15999999999999992,6.16,6.32,0.16000000000000014,0.08,0.04,-0.04
MedQA,confirmation,25,68.0,60.0,-8.0,1.24,1.36,0.1200000000000001,6.16,6.36,0.20000000000000018,0.08,0.04,-0.04
MedQA,cultural,25,68.0,76.0,8.0,1.24,1.48,0.24,6.16,6.12,-0.040000000000000036,0.08,0.08,0.0
MedQA,diagnosis_momentum,25,68.0,76.0,8.0,1.24,1.32,0.08000000000000007,6.16,5.76,-0.40000000000000036,0.08,0.08,0.0
MedQA,disability,25,68.0,76.0,8.0,1.24,1.12,-0.11999999999999988,6.16,5.76,-0.40000000000000036,0.08,0.04,-0.04
MedQA,education,25,68.0,76.0,8.0,1.24,1.52,0.28,6.16,5.96,-0.20000000000000018,0.08,0.0,-0.08
MedQA,false_consensus,25,68.0,76.0,8.0,1.24,1.44,0.19999999999999996,6.16,6.68,0.5199999999999996,0.08,0.04,-0.04
MedQA,frequency,25,68.0,84.0,16.0,1.24,1.32,0.08000000000000007,6.16,6.36,0.20000000000000018,0.08,0.0,-0.08
MedQA,gamblers_fallacy,25,68.0,68.0,0.0,1.24,1.48,0.24,6.16,6.16,0.0,0.08,0.04,-0.04
MedQA,gender,25,68.0,64.0,-4.0,1.24,1.48,0.24,6.16,5.76,-0.40000000000000036,0.08,0.04,-0.04
MedQA,mental_health,25,68.0,76.0,8.0,1.24,1.48,0.24,6.16,6.64,0.47999999999999954,0.08,0.0,-0.08
